timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T17:23:58.830692,0,1.1901,1.1901,0.0311,0.8820,0.8796,0.1390,-0.8686,69
2026-03-21T17:23:58.830692,1,1.3611,0.0230,1.3611,0.7004,0.7509,0.7508,0.0145,85
2026-03-21T17:23:58.899110,0,1.1260,1.1260,0.0222,0.8810,0.8764,0.1111,-0.8693,66
2026-03-21T17:23:58.899110,1,1.3364,0.0275,1.3364,0.6745,0.7512,0.7512,0.0061,84
2026-03-21T17:23:58.968313,0,1.1260,1.1260,0.0241,0.8830,0.8763,0.1113,-0.8693,66
2026-03-21T17:23:58.968313,1,0.0451,0.0451,0.0087,0.8626,1.1389,0.7473,-0.8594,3
2026-03-21T17:23:58.968313,2,1.3576,0.0233,1.3576,0.6950,0.7515,0.7514,0.0145,85
2026-03-21T17:23:59.038203,0,1.0970,1.0970,0.0201,0.8794,0.8751,0.1022,-0.8691,65
2026-03-21T17:23:59.038203,1,1.3358,0.0225,1.3358,0.6725,0.7507,0.7507,0.0063,84
2026-03-21T17:23:59.107498,0,1.1276,1.1276,0.0278,0.8833,0.8760,0.1111,-0.8689,66
2026-03-21T17:23:59.107498,1,1.4101,0.0297,1.4101,0.7349,0.7511,0.7509,-0.0186,87
2026-03-21T17:23:59.177113,0,1.1921,1.1921,0.0283,0.8814,0.8805,0.1392,-0.8695,69
2026-03-21T17:23:59.177113,1,1.4104,0.0245,1.4104,0.7134,0.7507,0.7507,-0.0019,87
2026-03-21T17:23:59.246696,0,1.1936,1.1936,0.0296,0.8820,0.8804,0.1392,-0.8693,69
2026-03-21T17:23:59.246696,1,1.3838,0.0220,1.3838,0.7127,0.7512,0.7511,-0.0100,86
2026-03-21T17:23:59.317010,0,1.1970,1.1970,0.0522,0.8794,0.8808,0.1480,-0.8683,70
2026-03-21T17:23:59.317010,1,1.3597,0.0226,1.3597,0.6990,0.7517,0.7515,0.0144,85
2026-03-21T17:23:59.385884,0,1.1965,1.1965,0.0264,0.8810,0.8807,0.1392,-0.8696,69
2026-03-21T17:23:59.385884,1,1.3856,0.0229,1.3856,0.7204,0.7515,0.7511,0.0224,86
2026-03-21T17:23:59.456396,0,1.0740,1.0740,0.0264,3.1167,0.8740,0.0935,-0.8689,64
2026-03-21T17:23:59.456396,1,1.4088,0.0284,1.4088,2.9694,0.7518,0.7516,-0.0188,87
2026-03-21T17:23:59.525170,0,1.1928,1.1928,0.0280,3.1157,0.8803,0.1393,-0.8692,69
2026-03-21T17:23:59.525170,1,1.4299,0.0215,1.4299,2.9681,0.7516,0.7515,-0.0104,88
2026-03-21T17:23:59.594942,0,1.1936,1.1936,0.0275,3.1138,0.8798,0.1389,-0.8688,69
2026-03-21T17:23:59.594942,1,0.0957,0.0054,0.0957,2.9947,1.0473,0.7656,-0.7146,5
2026-03-21T17:23:59.594942,2,1.2631,0.0256,1.2631,2.8720,0.7511,0.7511,-0.0019,81
2026-03-21T17:23:59.664946,0,1.1229,1.1229,0.0218,3.1138,0.8760,0.1111,-0.8689,66
2026-03-21T17:23:59.664946,1,1.3358,0.0235,1.3358,2.8937,0.7511,0.7510,0.0062,84
2026-03-21T17:23:59.735092,0,1.1241,1.1241,0.0235,3.1148,0.8761,0.1115,-0.8690,66
2026-03-21T17:23:59.735092,1,1.3804,0.0213,1.3804,2.8924,0.7512,0.7509,0.0225,86
2026-03-21T17:23:59.804468,0,1.1231,1.1231,0.0233,3.1118,0.8753,0.1111,-0.8682,66
2026-03-21T17:23:59.804468,1,1.3865,0.0279,1.3865,2.9444,0.7509,0.7509,-0.0104,86
2026-03-21T17:23:59.874507,0,1.1843,1.1843,0.0321,3.1124,0.8796,0.1392,-0.8685,69
2026-03-21T17:23:59.874507,1,0.0490,0.0061,0.0490,3.0493,1.1026,0.7658,-0.7932,3
2026-03-21T17:23:59.874507,2,1.2861,0.0205,1.2861,2.8944,0.7507,0.7506,-0.0095,82
2026-03-21T17:23:59.874507,3,0.0972,0.0057,0.0972,1.5829,1.0249,0.7492,0.6994,5
2026-03-21T17:23:59.943744,0,1.0985,1.0985,0.0194,3.1118,0.8754,0.1020,-0.8695,65
2026-03-21T17:23:59.943744,1,1.4346,0.0259,1.4346,2.9196,0.7508,0.7505,0.0228,88
2026-03-21T17:24:00.013921,0,1.1969,1.1969,0.0563,3.1137,0.8807,0.1480,-0.8682,70
2026-03-21T17:24:00.013921,1,1.3602,0.0227,1.3602,2.9437,0.7511,0.7509,-0.0181,85
2026-03-21T17:24:00.083355,0,1.1980,1.1980,0.0213,3.1106,0.8800,0.1390,-0.8690,69
