timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T17:53:32.756321,2,0.6003,0.0231,0.6003,2.8976,0.8251,0.7541,-0.3347,37
2026-03-21T17:53:32.756321,3,0.0954,0.0303,0.0954,2.2756,0.5969,0.5969,0.0050,10
2026-03-21T17:53:32.756321,4,0.6006,0.0515,0.6006,2.1585,0.8224,0.7456,0.3470,37
2026-03-21T17:53:32.825583,0,1.1872,1.1872,0.0180,3.1005,0.8724,0.1388,-0.8613,69
2026-03-21T17:53:32.825583,1,0.6483,0.0281,0.6483,2.9451,0.8321,0.7535,-0.3531,39
2026-03-21T17:53:32.825583,2,0.0962,0.0358,0.0962,2.2762,0.5977,0.5977,0.0050,10
2026-03-21T17:53:32.825583,3,0.6056,0.0159,0.6056,2.1417,0.8303,0.7465,0.3635,37
2026-03-21T17:53:32.912236,0,1.0723,1.0723,0.0198,3.1030,0.8658,0.0927,-0.8608,64
2026-03-21T17:53:32.912236,1,0.0914,0.0914,0.0185,3.1025,1.1271,0.7248,-0.8631,5
2026-03-21T17:53:32.912236,2,0.0954,0.0064,0.0954,2.9680,1.0279,0.7635,-0.6882,5
2026-03-21T17:53:32.912236,3,0.5495,0.0187,0.5495,2.8466,0.8151,0.7514,-0.3157,35
2026-03-21T17:53:32.912236,4,0.0955,0.0263,0.0955,2.2753,0.5962,0.5962,0.0050,10
2026-03-21T17:53:32.912236,5,0.6002,0.0595,0.6002,2.1594,0.8231,0.7462,0.3475,37
2026-03-21T17:53:32.967930,0,1.0988,1.0988,0.0171,3.1037,0.8676,0.1019,-0.8616,65
2026-03-21T17:53:32.967930,1,0.0630,0.0630,0.0468,3.1012,1.1323,0.7429,-0.8545,5
2026-03-21T17:53:32.967930,2,0.5947,0.0169,0.5947,2.8924,0.8225,0.7518,-0.3338,37
2026-03-21T17:53:32.967930,3,0.0955,0.0217,0.0955,2.2748,0.5935,0.5935,0.0052,10
2026-03-21T17:53:32.967930,4,0.6497,0.0579,0.6497,2.1589,0.8313,0.7465,0.3660,39
2026-03-21T17:53:33.057104,0,1.1191,1.1191,0.0182,3.1042,0.8684,0.1108,-0.8613,66
2026-03-21T17:53:33.057104,1,0.6240,0.0265,0.6240,2.9209,0.8276,0.7529,-0.3435,38
2026-03-21T17:53:33.057104,2,0.0960,0.0349,0.0960,2.2760,0.5963,0.5963,0.0050,10
2026-03-21T17:53:33.057104,3,0.6525,0.0476,0.6525,2.1583,0.8314,0.7465,0.3660,39
2026-03-21T17:53:33.096077,0,1.1241,1.1241,0.0170,3.1024,0.8684,0.1108,-0.8613,66
2026-03-21T17:53:33.096077,1,0.0418,0.0418,0.0133,3.0980,1.1409,0.7486,-0.8610,3
2026-03-21T17:53:33.096077,2,0.6698,0.0256,0.6698,2.9673,0.8373,0.7545,-0.3630,40
2026-03-21T17:53:33.096077,3,0.0968,0.0418,0.0968,2.2765,0.5987,0.5987,0.0050,10
2026-03-21T17:53:33.096077,4,0.6305,0.0142,0.6305,2.1411,0.8349,0.7469,0.3733,38
2026-03-21T17:53:33.166792,0,1.1217,1.1217,0.0187,3.1029,0.8688,0.1109,-0.8617,66
2026-03-21T17:53:33.166792,1,0.5736,0.0181,0.5736,2.8713,0.8194,0.7523,-0.3249,36
2026-03-21T17:53:33.166792,2,0.0956,0.0283,0.0956,2.2754,0.5972,0.5972,0.0051,10
2026-03-21T17:53:33.166792,3,0.6293,0.0164,0.6293,2.1413,0.8350,0.7469,0.3732,38
2026-03-21T17:53:33.235826,0,1.0984,1.0984,0.0225,3.1058,0.8673,0.1018,-0.8613,65
2026-03-21T17:53:33.235826,1,0.6206,0.0209,0.6206,2.9182,0.8280,0.7533,-0.3436,38
2026-03-21T17:53:33.235826,2,0.0960,0.0316,0.0960,2.2758,0.5971,0.5971,0.0051,10
2026-03-21T17:53:33.235826,3,0.5979,0.0533,0.5979,2.1585,0.8239,0.7471,0.3474,37
2026-03-21T17:53:33.306916,0,1.1899,1.1899,0.0160,3.1004,0.8724,0.1388,-0.8613,69
2026-03-21T17:53:33.306916,1,0.5967,0.0168,0.5967,2.8943,0.8238,0.7530,-0.3341,37
2026-03-21T17:53:33.306916,2,0.0965,0.0386,0.0965,2.2762,0.5981,0.5981,0.0050,10
2026-03-21T17:53:33.306916,3,0.6056,0.0161,0.6056,2.1417,0.8316,0.7476,0.3641,37
2026-03-21T17:53:33.378561,0,1.0961,1.0961,0.0247,3.1025,0.8667,0.1016,-0.8607,65
2026-03-21T17:53:33.378561,1,0.0630,0.0630,0.0469,3.1020,1.1319,0.7426,-0.8542,5
2026-03-21T17:53:33.378561,2,0.5954,0.0241,0.5954,2.8930,0.8237,0.7527,-0.3344,37
2026-03-21T17:53:33.378561,3,0.0961,0.0358,0.0961,2.2759,0.5953,0.5953,0.0050,10
2026-03-21T17:53:33.378561,4,0.6296,0.0123,0.6296,2.1416,0.8354,0.7473,0.3734,38
2026-03-21T17:53:33.451006,0,1.1013,1.1013,0.0149,3.1008,0.8673,0.1018,-0.8613,65
2026-03-21T17:53:33.451006,1,0.0978,0.0035,0.0978,2.9967,1.0487,0.7666,-0.7156,5
