timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T16:56:40.435692,0,1.1113,1.1113,0.0792,0.8662,0.8611,0.1212,-0.8525,67
2026-03-21T16:56:40.435692,1,0.0352,0.0228,0.0352,0.8551,1.1329,0.7580,-0.8419,3
2026-03-21T16:56:40.435692,2,0.6431,0.0215,0.6431,0.7086,0.8328,0.7542,-0.3532,39
2026-03-21T16:56:40.435692,3,0.1519,0.0214,0.1519,0.0467,0.6541,0.6535,0.0287,14
2026-03-21T16:56:40.435692,4,0.5920,0.0149,0.5920,0.0000,0.8462,0.7476,0.3965,35
2026-03-21T16:56:40.504392,0,1.1390,1.1390,0.0773,0.8662,0.8664,0.1562,-0.8522,69
2026-03-21T16:56:40.504392,1,0.5969,0.0183,0.5969,0.6620,0.8244,0.7535,-0.3345,37
2026-03-21T16:56:40.504392,2,0.1523,0.0239,0.1523,0.0470,0.6558,0.6552,0.0287,14
2026-03-21T16:56:40.504392,3,0.5865,0.0155,0.5865,0.0000,0.8449,0.7465,0.3958,35
2026-03-21T16:56:40.573578,0,1.1375,1.1375,0.0815,0.8676,0.8648,0.1470,-0.8523,68
2026-03-21T16:56:40.573578,1,0.5965,0.0194,0.5965,0.6620,0.8243,0.7534,-0.3344,37
2026-03-21T16:56:40.573578,2,0.1514,0.0277,0.1514,0.0461,0.6544,0.6537,0.0288,14
2026-03-21T16:56:40.573578,3,0.5394,0.0153,0.5394,0.0000,0.8358,0.7461,0.3767,33
2026-03-21T16:56:40.642495,0,1.0610,1.0610,0.0782,0.8711,0.8583,0.1029,-0.8521,65
2026-03-21T16:56:40.642495,1,0.0887,0.0233,0.0887,0.8566,1.1157,0.7605,-0.8163,5
2026-03-21T16:56:40.642495,2,0.5921,0.0143,0.5921,0.6574,0.8238,0.7529,-0.3342,37
2026-03-21T16:56:40.642495,3,0.1521,0.0257,0.1521,0.0471,0.6559,0.6553,0.0286,14
2026-03-21T16:56:40.642495,4,0.5922,0.0140,0.5922,0.0000,0.8449,0.7464,0.3959,35
2026-03-21T16:56:40.712907,0,1.0429,1.0429,0.0812,0.8692,0.8570,0.0943,-0.8518,64
2026-03-21T16:56:40.712907,1,0.0904,0.0904,0.0431,0.8637,1.1192,0.7271,-0.8508,6
2026-03-21T16:56:40.712907,2,0.6446,0.0208,0.6446,0.7100,0.8315,0.7530,-0.3527,39
2026-03-21T16:56:40.712907,3,0.1511,0.0179,0.1511,0.0466,0.6557,0.6550,0.0287,14
2026-03-21T16:56:40.712907,4,0.5617,0.0169,0.5617,0.0000,0.8410,0.7469,0.3865,34
2026-03-21T16:56:40.783044,0,1.0421,1.0421,0.0846,0.8721,0.8598,0.1110,-0.8526,64
2026-03-21T16:56:40.783044,1,0.0709,0.0709,0.0412,0.8611,1.1253,0.7384,-0.8491,5
2026-03-21T16:56:40.783044,2,0.6202,0.0188,0.6202,0.6852,0.8296,0.7549,-0.3440,38
2026-03-21T16:56:40.783044,3,0.1515,0.0196,0.1515,0.0462,0.6549,0.6542,0.0288,14
2026-03-21T16:56:40.783044,4,0.5392,0.0146,0.5392,0.0000,0.8366,0.7468,0.3770,33
2026-03-21T16:56:40.851727,0,1.0913,1.0913,0.0824,0.8676,0.8631,0.1292,-0.8533,66
2026-03-21T16:56:40.851727,1,0.5948,0.0141,0.5948,0.6607,0.8251,0.7542,-0.3346,37
2026-03-21T16:56:40.851727,2,0.1521,0.0238,0.1521,0.0470,0.6566,0.6560,0.0288,14
2026-03-21T16:56:40.851727,3,0.5148,0.0180,0.5148,0.0000,0.8323,0.7467,0.3677,32
2026-03-21T16:56:40.921526,0,1.0667,1.0667,0.0835,0.8678,0.8612,0.1201,-0.8528,65
2026-03-21T16:56:40.921526,1,0.6209,0.0208,0.6209,0.6865,0.8288,0.7541,-0.3439,38
2026-03-21T16:56:40.921526,2,0.1535,0.0270,0.1535,0.0467,0.6553,0.6547,0.0288,14
2026-03-21T16:56:40.921526,3,0.5627,0.0178,0.5627,0.0000,0.8412,0.7471,0.3867,34
2026-03-21T16:56:40.991432,0,1.1411,1.1411,0.0835,0.8691,0.8658,0.1475,-0.8531,68
2026-03-21T16:56:40.991432,1,0.6384,0.0202,0.6384,0.7038,0.8329,0.7543,-0.3531,39
2026-03-21T16:56:40.991432,2,0.1522,0.0229,0.1522,0.0468,0.6560,0.6554,0.0287,14
2026-03-21T16:56:40.991432,3,0.6170,0.0170,0.6170,0.0000,0.8493,0.7462,0.4056,36
2026-03-21T16:56:41.060677,0,1.1387,1.1387,0.0733,3.1014,0.8659,0.1475,-0.8533,68
2026-03-21T16:56:41.060677,1,0.6928,0.0224,0.6928,2.9926,0.8412,0.7543,-0.3725,41
2026-03-21T16:56:41.060677,2,0.1519,0.0213,0.1519,2.2815,0.6561,0.6555,0.0287,14
2026-03-21T16:56:41.060677,3,0.5651,0.0138,0.5651,2.1040,0.8403,0.7463,0.3863,34
2026-03-21T16:56:41.130782,0,1.1381,1.1381,0.0752,3.1023,0.8657,0.1472,-0.8531,68
2026-03-21T16:56:41.130782,1,0.5957,0.0175,0.5957,2.8959,0.8246,0.7537,-0.3344,37
