timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T18:28:18.855437,0,1.5642,1.1948,1.5642,0.7669,0.6234,0.4861,-0.3902,157
2026-03-21T18:28:18.927557,0,1.5697,1.1938,1.5697,0.7659,0.6234,0.4815,-0.3959,159
2026-03-21T18:28:18.997302,0,1.6423,1.1940,1.6423,0.7644,0.6145,0.4868,-0.3750,162
2026-03-21T18:28:19.064261,0,1.5647,1.1953,1.5647,0.7661,0.6234,0.4815,-0.3959,159
2026-03-21T18:28:19.135145,0,1.5694,1.1925,1.5694,0.7655,0.6234,0.4815,-0.3961,159
2026-03-21T18:28:19.207490,0,1.5941,1.1936,1.5941,0.7662,0.6203,0.4833,-0.3889,160
2026-03-21T18:28:19.280470,0,1.6437,1.1925,1.6437,0.7646,0.6143,0.4866,-0.3750,162
2026-03-21T18:28:19.347125,0,1.5648,1.1917,1.5648,0.7664,0.6235,0.4816,-0.3960,159
2026-03-21T18:28:19.427237,0,1.5668,1.1965,1.5668,0.7677,0.6239,0.4818,-0.3965,159
2026-03-21T18:28:19.427237,1,0.0479,0.0032,0.0479,0.7562,1.0492,0.7546,0.7290,3
2026-03-21T18:28:19.504198,0,1.6422,1.1999,1.6422,0.3621,0.6142,0.4863,-0.3752,162
2026-03-21T18:28:19.577354,0,1.5926,1.1991,1.5926,0.3605,0.6210,0.4835,-0.3897,160
2026-03-21T18:28:19.621599,0,1.0229,1.0229,0.1002,0.8355,0.8764,0.0905,-0.8717,64
2026-03-21T18:28:19.621599,1,1.4264,0.1798,1.4264,0.3581,0.7497,0.7459,-0.0759,95
2026-03-21T18:28:19.693428,0,1.5961,1.1918,1.5961,0.3589,0.6204,0.4831,-0.3892,160
2026-03-21T18:28:19.765280,0,1.0832,1.0832,0.2112,0.8347,0.8684,0.1433,-0.8564,71
2026-03-21T18:28:19.765280,1,1.4231,0.0747,1.4231,0.3618,0.7548,0.7548,-0.0081,90
