timestamp,object_id,length,width,depth,height_above_baseline,distance,centroid_x,centroid_y,point_count
2026-03-21T04:13:40.729133,0,0.0453,0.0453,0.0351,0.3062,0.3162,-0.1334,-0.2866,11
2026-03-21T04:13:40.729133,1,0.1464,0.1464,0.0894,1.1025,1.0534,0.0171,-1.0532,9
2026-03-21T04:13:40.729133,2,0.1129,0.1129,0.0935,1.0053,1.0295,0.3770,-0.9581,8
2026-03-21T04:13:40.729133,3,0.2815,0.2815,0.1779,0.0000,1.0487,-0.2240,1.0245,18
2026-03-21T04:13:40.729133,4,0.0681,0.0681,0.0575,0.0000,0.2827,-0.1245,0.2538,9
2026-03-21T04:13:40.797221,0,0.0750,0.0491,0.0750,0.3461,0.3202,-0.1323,-0.2916,12
2026-03-21T04:13:40.797221,1,0.1269,0.1269,0.0828,1.0953,1.0490,0.0264,-1.0487,8
2026-03-21T04:13:40.797221,2,0.1187,0.1187,0.0934,1.0005,1.0274,0.3763,-0.9560,8
2026-03-21T04:13:40.797221,3,0.2816,0.2816,0.1773,0.0000,1.0480,-0.2240,1.0238,18
2026-03-21T04:13:40.797221,4,0.0609,0.0609,0.0450,0.0000,0.2849,-0.1251,0.2560,7
2026-03-21T04:13:40.865743,0,0.0875,0.0432,0.0875,0.3508,0.3173,-0.1308,-0.2891,12
2026-03-21T04:13:40.865743,1,0.1077,0.1077,0.0427,1.0618,1.0407,0.0358,-1.0400,7
2026-03-21T04:13:40.865743,2,0.0955,0.0787,0.0955,1.0072,1.0278,0.3678,-0.9598,7
2026-03-21T04:13:40.865743,3,0.2622,0.2622,0.1723,0.0000,1.0463,-0.2330,1.0201,17
2026-03-21T04:13:40.865743,4,0.0670,0.0670,0.0547,0.0000,0.2825,-0.1246,0.2535,9
2026-03-21T04:13:40.936122,0,0.0457,0.0457,0.0331,0.3025,0.3139,-0.1324,-0.2846,11
2026-03-21T04:13:40.936122,1,0.1272,0.1272,0.0748,1.0853,1.0467,0.0265,-1.0463,8
2026-03-21T04:13:40.936122,2,0.0928,0.0928,0.0883,0.9909,1.0214,0.3822,-0.9472,7
2026-03-21T04:13:40.936122,3,0.0881,0.0881,0.0451,1.2485,1.4154,0.7077,-1.2257,5
2026-03-21T04:13:40.936122,4,0.2816,0.2816,0.1769,0.0000,1.0493,-0.2243,1.0251,18
2026-03-21T04:13:40.936122,5,0.0701,0.0701,0.0621,0.0000,0.2813,-0.1241,0.2524,9
2026-03-21T04:13:41.006180,0,0.0859,0.0440,0.0859,0.3527,0.3194,-0.1318,-0.2910,12
2026-03-21T04:13:41.006180,1,0.1098,0.1098,0.0717,1.0933,1.0538,0.0176,-1.0536,7
2026-03-21T04:13:41.006180,2,0.0989,0.0989,0.0703,0.9775,1.0228,0.3829,-0.9484,7
2026-03-21T04:13:41.006180,3,0.0926,0.0926,0.0365,1.2536,1.4132,0.6852,-1.2359,5
2026-03-21T04:13:41.006180,4,0.2820,0.2820,0.1790,0.0000,1.0486,-0.2241,1.0243,18
2026-03-21T04:13:41.006180,5,0.0545,0.0545,0.0516,0.0000,0.2838,-0.1249,0.2549,9
2026-03-21T04:13:41.075383,0,0.0757,0.0469,0.0757,0.3451,0.3198,-0.1321,-0.2913,12
2026-03-21T04:13:41.075383,1,0.1273,0.1273,0.0722,1.0913,1.0499,0.0266,-1.0496,8
2026-03-21T04:13:41.075383,2,0.1057,0.1057,0.0879,1.0015,1.0234,0.3746,-0.9524,8
2026-03-21T04:13:41.075383,3,0.2815,0.2815,0.1779,0.0000,1.0496,-0.2245,1.0253,18
2026-03-21T04:13:41.075383,4,0.0596,0.0596,0.0543,0.0000,0.2820,-0.1244,0.2531,9
2026-03-21T04:13:41.145585,0,0.0852,0.0414,0.0852,0.3442,0.3172,-0.1308,-0.2890,12
2026-03-21T04:13:41.145585,1,0.1288,0.1288,0.0850,1.1015,1.0575,0.0081,-1.0575,8
2026-03-21T04:13:41.145585,2,0.1082,0.1082,0.0883,1.0119,1.0297,0.3770,-0.9582,8
2026-03-21T04:13:41.145585,3,0.1154,0.1154,0.0469,1.2545,1.4154,0.6971,-1.2318,6
2026-03-21T04:13:41.145585,4,0.2821,0.2821,0.1740,0.0000,1.0476,-0.2240,1.0234,18
2026-03-21T04:13:41.145585,5,0.0643,0.0643,0.0505,0.0000,0.2823,-0.1243,0.2534,9
2026-03-21T04:13:41.215558,0,0.0469,0.0469,0.0349,0.3034,0.3141,-0.1325,-0.2847,11
2026-03-21T04:13:41.215558,1,0.0570,0.0207,0.0570,0.1949,0.1649,-0.0316,-0.1619,5
2026-03-21T04:13:41.215558,2,0.1096,0.1096,0.0658,1.0893,1.0535,0.0176,-1.0534,7
2026-03-21T04:13:41.215558,3,0.1111,0.1111,0.0880,1.0043,1.0265,0.3759,-0.9553,8
2026-03-21T04:13:41.215558,4,0.2623,0.2623,0.1703,0.0000,1.0473,-0.2332,1.0210,17
2026-03-21T04:13:41.215558,5,0.0599,0.0599,0.0545,0.0000,0.2837,-0.1250,0.2547,9
2026-03-21T04:13:41.284893,0,0.0841,0.0468,0.0841,0.3517,0.3185,-0.1314,-0.2901,12
2026-03-21T04:13:41.284893,1,0.1094,0.1094,0.0668,1.0883,1.0514,0.0176,-1.0512,7
2026-03-21T04:13:41.284893,2,0.0958,0.0958,0.0836,0.9871,1.0205,0.3820,-0.9463,7
2026-03-21T04:13:41.284893,3,0.2633,0.2633,0.1697,0.0000,1.0435,-0.2323,1.0173,17
2026-03-21T04:13:41.284893,4,0.0580,0.0580,0.0541,0.0000,0.2827,-0.1246,0.2538,9
2026-03-21T04:13:41.354163,0,0.0862,0.0467,0.0862,0.0000,0.3201,-0.1321,-0.2915,12
2026-03-21T04:13:41.354163,1,0.0900,0.0900,0.0543,0.0000,1.0460,0.0268,-1.0457,6
2026-03-21T04:13:41.354163,2,0.0934,0.0934,0.0669,0.0000,1.0201,0.3819,-0.9459,7
2026-03-21T04:13:41.354163,3,0.0887,0.0887,0.0443,0.0940,1.4174,0.7087,-1.2274,5
2026-03-21T04:13:41.354163,4,0.2830,0.2830,0.1705,0.0000,1.0475,-0.2240,1.0232,18
2026-03-21T04:13:41.354163,5,0.0519,0.0519,0.0443,0.0000,0.2785,-0.1225,0.2501,9
2026-03-21T04:13:41.424215,0,0.0477,0.0477,0.0288,0.0000,0.3152,-0.1331,-0.2858,11
2026-03-21T04:13:41.424215,1,0.0480,0.0197,0.0480,0.0000,0.1532,-0.0322,-0.1497,5
2026-03-21T04:13:41.424215,2,0.1088,0.1088,0.0818,0.0000,1.0538,0.0175,-1.0536,7
2026-03-21T04:13:41.424215,3,0.1065,0.1065,0.0964,0.0000,1.0240,0.3748,-0.9530,8
2026-03-21T04:13:41.424215,4,0.2630,0.2630,0.1625,0.0000,1.0439,-0.2324,1.0177,17
2026-03-21T04:13:41.424215,5,0.0714,0.0714,0.0637,0.0000,0.2843,-0.1253,0.2551,9
2026-03-21T04:13:41.493886,0,0.0503,0.0503,0.0329,0.0000,0.3107,-0.1311,-0.2817,11
2026-03-21T04:13:41.493886,1,0.1264,0.1264,0.0692,0.0000,1.0474,0.0265,-1.0471,8
2026-03-21T04:13:41.493886,2,0.0998,0.0998,0.0563,0.0000,1.0212,0.3823,-0.9470,7
2026-03-21T04:13:41.493886,3,0.2829,0.2829,0.1701,0.0000,1.0476,-0.2241,1.0234,18
2026-03-21T04:13:41.493886,4,0.0609,0.0609,0.0455,0.0000,0.2794,-0.1231,0.2508,9
2026-03-21T04:13:41.564126,0,0.0449,0.0449,0.0413,0.0000,0.3160,-0.1333,-0.2865,11
2026-03-21T04:13:41.564126,1,0.1491,0.1491,0.1057,0.0000,1.0666,-0.0015,-1.0666,9
2026-03-21T04:13:41.564126,2,0.1274,0.1128,0.1274,0.0000,1.0287,0.3677,-0.9608,9
2026-03-21T04:13:41.564126,3,0.2809,0.2809,0.1697,0.0000,1.0473,-0.2240,1.0230,18
2026-03-21T04:13:41.564126,4,0.0663,0.0663,0.0633,0.0000,0.2864,-0.1263,0.2570,9
2026-03-21T04:13:41.632721,0,0.0462,0.0462,0.0394,0.0000,0.3160,-0.1332,-0.2865,11
2026-03-21T04:13:41.632721,1,0.1466,0.1466,0.0953,0.0000,1.0557,0.0171,-1.0556,9
2026-03-21T04:13:41.632721,2,0.1085,0.1085,0.0897,0.0000,1.0251,0.3752,-0.9539,8
